,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,ordering,title,region,language,types,attributes,is_original_title,id,release_date,production_budget,domestic_gross_movie_budgets,worldwide_gross_movie_budgets
799,tt4824302,5.7,28854,Mother's Day,Mother's Day,2016,118.0,"Comedy,Drama,Romance",6,mothersday,US,,,,0.0,27,"Apr 29, 2016","$25,000,000","$32,492,859","$52,367,022"
800,tt1434435,6.3,15012,Mother's Day,Mother's Day,2010,112.0,"Drama,Horror,Thriller",6,mothersday,US,,,,0.0,27,"Apr 29, 2016","$25,000,000","$32,492,859","$52,367,022"
849,tt2094064,7.2,15415,Much Ado About Nothing,Much Ado About Nothing,2012,109.0,"Comedy,Drama,Romance",7,muchadoaboutnothing,US,,,,0.0,82,"May 7, 1993","$8,000,000","$22,549,338","$22,549,338"
848,tt1748124,4.5,8,Much Ado About Nothing,Much Ado About Nothing,2010,68.0,"Comedy,Drama,Romance",1,muchadoaboutnothing,US,,,,0.0,82,"May 7, 1993","$8,000,000","$22,549,338","$22,549,338"
70,tt3531824,6.5,102782,Nerve,Nerve,2016,96.0,"Action,Adventure,Crime",17,nerve,US,,imdbDisplay,,0.0,43,"Jul 27, 2016","$20,000,000","$38,583,626","$70,652,284"
71,tt5324464,6.2,6,Nerve,Nerve,2015,62.0,"Documentary,History",1,nerve,US,,,,0.0,43,"Jul 27, 2016","$20,000,000","$38,583,626","$70,652,284"
69,tt1772317,6.8,88,Nerve,Nerve,2011,83.0,"Comedy,Drama",1,nerve,US,,,,0.0,43,"Jul 27, 2016","$20,000,000","$38,583,626","$70,652,284"
1120,tt3393372,5.3,277,Night of the Living Dead,Night of the Living Dead,2014,79.0,Horror,2,nightofthelivingdead,US,,alternative,,0.0,69,"Oct 19, 1990","$4,200,000","$5,835,247","$5,835,247"
1121,tt3393372,5.3,277,Night of the Living Dead,Night of the Living Dead,2014,79.0,Horror,2,nightofthelivingdead,US,,alternative,,0.0,77,"Oct 1, 1968","$114,000","$12,087,064","$30,087,064"
1847,tt5599520,7.2,112,Night School,Night School,2016,85.0,Documentary,1,nightschool,US,,,,0.0,16,"Sep 28, 2018","$29,000,000","$77,339,130","$103,008,792"
1846,tt6781982,5.6,23501,Night School,Night School,2018,111.0,Comedy,15,nightschool,US,,imdbDisplay,,0.0,16,"Sep 28, 2018","$29,000,000","$77,339,130","$103,008,792"
182,tt2109176,6.5,12,Noah,Noah,2011,105.0,"Drama,Thriller",1,noah,US,,,,0.0,51,"Mar 28, 2014","$130,000,000","$101,200,044","$352,831,065"
181,tt1091821,5.6,223,Noah,Noah,2012,,Animation,2,noah,US,,,,0.0,51,"Mar 28, 2014","$130,000,000","$101,200,044","$352,831,065"
183,tt1959490,5.8,229326,Noah,Noah,2014,138.0,"Action,Adventure,Drama",13,noah,US,,,,0.0,51,"Mar 28, 2014","$130,000,000","$101,200,044","$352,831,065"
420,tt6546808,7.7,63,No Man's Land,No Man's Land,2017,81.0,Documentary,1,nomansland,US,,,,0.0,52,"Dec 7, 2001","$1,000,000","$1,067,481","$2,684,207"
421,tt5599952,5.8,6,No Mans Land,No Mans Land,2017,,Thriller,1,nomansland,US,,,,0.0,52,"Dec 7, 2001","$1,000,000","$1,067,481","$2,684,207"
675,tt1670345,7.3,553156,Now You See Me,Now You See Me,2013,115.0,"Crime,Mystery,Thriller",8,nowyouseeme,US,,imdbDisplay,,0.0,41,"May 31, 2013","$75,000,000","$117,723,989","$342,769,200"
674,tt2221640,7.0,237,Now You See Me,Now You See Me,2012,98.0,"Drama,Horror,Thriller",1,nowyouseeme,US,,,,0.0,41,"May 31, 2013","$75,000,000","$117,723,989","$342,769,200"
1032,tt1876409,8.0,8,Oblivion,Oblivion,2011,116.0,Thriller,2,oblivion,US,,,,0.0,93,"Apr 19, 2013","$120,000,000","$89,107,235","$287,916,633"
1033,tt1483013,7.0,453966,Oblivion,Oblivion,2013,124.0,"Action,Adventure,Sci-Fi",31,oblivion,US,,working,,0.0,93,"Apr 19, 2013","$120,000,000","$89,107,235","$287,916,633"
375,tt1904995,5.3,26,Paranoia,Paranoia,2012,87.0,Thriller,2,paranoia,US,,,,0.0,19,"Aug 16, 2013","$40,000,000","$7,388,654","$16,340,767"
374,tt1413495,5.7,33149,Paranoia,Paranoia,2013,106.0,"Drama,Thriller",5,paranoia,US,,,,0.0,19,"Aug 16, 2013","$40,000,000","$7,388,654","$16,340,767"
32,tt1758741,6.4,13,People Like Us,People Like Us,2010,55.0,Drama,1,peoplelikeus,US,,,,0.0,60,"Jun 29, 2012","$16,000,000","$12,431,792","$12,617,472"
33,tt1716777,7.1,39618,People Like Us,People Like Us,2012,114.0,"Comedy,Drama",20,peoplelikeus,US,,working,,0.0,60,"Jun 29, 2012","$16,000,000","$12,431,792","$12,617,472"
1764,tt2788732,6.7,49313,Pete's Dragon,Pete's Dragon,2016,102.0,"Action,Adventure,Comedy",31,petesdragon,US,,imdbDisplay,,0.0,67,"Nov 3, 1977","$10,000,000","$36,000,000","$36,000,000"
1763,tt2788732,6.7,49313,Pete's Dragon,Pete's Dragon,2016,102.0,"Action,Adventure,Comedy",31,petesdragon,US,,imdbDisplay,,0.0,91,"Aug 12, 2016","$65,000,000","$76,233,151","$137,768,975"
1850,tt0837563,6.0,34472,Pet Sematary,Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",21,petsematary,US,,imdbDisplay,,0.0,61,"Apr 21, 1989","$11,500,000","$57,469,179","$57,469,179"
1849,tt0837563,6.0,34472,Pet Sematary,Pet Sematary,2019,101.0,"Horror,Mystery,Thriller",21,petsematary,US,,imdbDisplay,,0.0,61,"Apr 5, 2019","$21,000,000","$54,724,696","$109,501,146"
1694,tt1029360,4.9,51538,Poltergeist,Poltergeist,2015,93.0,"Horror,Thriller",19,poltergeist,US,,,,0.0,62,"May 22, 2015","$35,000,000","$47,425,125","$95,713,069"
1695,tt1029360,4.9,51538,Poltergeist,Poltergeist,2015,93.0,"Horror,Thriller",19,poltergeist,US,,,,0.0,22,"Jun 4, 1982","$10,700,000","$74,706,019","$121,706,019"
774,tt2044843,7.2,12,Possession,Possession,2012,90.0,"Drama,Mystery",1,possession,US,,,,0.0,90,"Aug 16, 2002","$25,000,000","$10,103,647","$14,805,812"
775,tt2998154,6.8,6,Possession,Possession,2013,82.0,Drama,1,possession,US,,,,0.0,90,"Aug 16, 2002","$25,000,000","$10,103,647","$14,805,812"
366,tt3896284,7.5,6,Pound of Flesh,Pound of Flesh,2014,145.0,Drama,1,poundofflesh,US,,,,0.0,76,"May 15, 2015","$7,500,000",$0,$0
367,tt3488328,5.2,5511,Pound of Flesh,Pound of Flesh,2015,104.0,"Action,Thriller",3,poundofflesh,US,,imdbDisplay,,0.0,76,"May 15, 2015","$7,500,000",$0,$0
365,tt1196338,3.2,267,Pound of Flesh,Pound of Flesh,2010,104.0,"Crime,Drama,Thriller",2,poundofflesh,US,,,,0.0,76,"May 15, 2015","$7,500,000",$0,$0
369,tt1245526,7.1,271570,RED,RED,2010,111.0,"Action,Comedy,Crime",18,red,US,,imdbDisplay,,0.0,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
370,tt2181948,5.8,9,Red,Red,2014,,Thriller,1,red,US,,,,0.0,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
612,tt3279418,8.4,5,Redemption,Redemption,2013,106.0,"Drama,Mystery,Thriller",1,redemption,US,,,,0.0,97,"Jun 28, 2013","$23,000,000","$36,686","$13,593,473"
611,tt1893256,6.2,61317,Redemption,Hummingbird,2013,100.0,"Action,Crime,Drama",4,redemption,US,,imdbDisplay,,0.0,97,"Jun 28, 2013","$23,000,000","$36,686","$13,593,473"
610,tt1350546,4.5,98,Redemption,Redemption,2011,97.0,"Adventure,Drama,Romance",3,redemption,US,,,,0.0,97,"Jun 28, 2013","$23,000,000","$36,686","$13,593,473"
16,tt4843358,5.2,72,Remember Me,Remember Me,2016,85.0,Comedy,2,rememberme,US,,,,0.0,51,"Mar 12, 2010","$16,000,000","$19,068,240","$56,506,120"
15,tt1403981,7.1,129443,Remember Me,Remember Me,2010,113.0,"Drama,Romance",25,rememberme,US,,working,,0.0,51,"Mar 12, 2010","$16,000,000","$19,068,240","$56,506,120"
1433,tt4517738,4.0,808,Restoration,Restoration,2016,92.0,Horror,3,restoration,US,,,,0.0,34,"Dec 29, 1995","$18,000,000","$4,100,000","$4,100,000"
1432,tt4926752,8.4,17,Restoration,Restoration,2016,93.0,Drama,1,restoration,US,,,,0.0,34,"Dec 29, 1995","$18,000,000","$4,100,000","$4,100,000"
713,tt2263520,4.4,14,Ride Along,Ride Along,2012,87.0,Action,1,ridealong,US,,,,0.0,67,"Jan 17, 2014","$25,000,000","$134,202,565","$153,733,800"
